Date,qt,prec,tmean
1/1/1990,4.4,0,16.6696
1/2/1990,4.33,0,16.8442
1/3/1990,4.33,0,17.2008
1/4/1990,4.19,0,17.3089
1/5/1990,4.13,6.4089,17.4117
1/6/1990,4.06,21.8642,17.9678
1/7/1990,3.99,0,17.3804
1/8/1990,4,0,17.364
1/9/1990,3.86,0,17.1237
1/10/1990,3.79,0,16.9434
1/11/1990,3.86,0,16.6839
1/12/1990,3.73,0,16.9827
1/13/1990,3.67,10.3938,17.1489
1/14/1990,3.54,0,17.3538
1/15/1990,3.48,0,17.8422
1/16/1990,3.42,0,17.4563
1/17/1990,3.36,0,18.2035
1/18/1990,3.36,0,18.2231
1/19/1990,3.3,0,17.7956
1/20/1990,3.24,0,18.3212
1/21/1990,3.24,0,18.3653
1/22/1990,3.12,0,18.3734
1/23/1990,3.06,0,17.8434
1/24/1990,3.06,0,18.193
1/25/1990,2.97,0,18.4314
1/26/1990,2.87,0,18.008
1/27/1990,2.77,0,19.0963
1/28/1990,2.67,0,19.087
1/29/1990,2.43,0,18.6143
1/30/1990,2.33,0,18.1522
1/31/1990,2.72,0,17.784
2/1/1990,2.62,0,18.6364
2/2/1990,2.52,0,18.9491
2/3/1990,2.47,3.7169,18.624
2/4/1990,2.38,4.1815,18.0564
2/5/1990,2.44,0,17.4894
2/6/1990,2.38,0,17.1916
2/7/1990,2.29,0,17.1138
2/8/1990,2.24,0,17.2862
2/9/1990,2.24,0,17.4878
2/10/1990,2.2,0,17.8282
2/11/1990,2.16,0,17.5107
2/12/1990,2.07,0,17.855
2/13/1990,2.07,0,17.5139
2/14/1990,2.07,0,17.1822
2/15/1990,2.03,0,17.287
2/16/1990,2.07,0,18.1165
2/17/1990,2.03,0,17.344
2/18/1990,2.03,0,16.6509
2/19/1990,2.06,0,16.5116
2/20/1990,2.03,0,16.3448
2/21/1990,2.07,0,16.9492
2/22/1990,2.03,0,17.3923
2/23/1990,2.03,0,18.1762
2/24/1990,2,0,17.9869
2/25/1990,1.99,0,16.588
2/26/1990,2.03,0,16.3582
2/27/1990,1.99,0,16.562
2/28/1990,2.03,0,16.7018
3/1/1990,2.03,0,16.2577
3/2/1990,2.07,0,16.724
3/3/1990,1.99,0,17.4243
3/4/1990,2.03,0,17.7792
3/5/1990,1.99,0,18.1438
3/6/1990,1.95,0,17.9095
3/7/1990,1.87,0,18.467
3/8/1990,1.87,0,17.6847
3/9/1990,1.87,0,17.8086
3/10/1990,1.87,0,18.6449
3/11/1990,1.87,0,19.17
3/12/1990,1.83,0,19.4936
3/13/1990,1.79,0,19.7485
3/14/1990,1.75,0,19.5514
3/15/1990,1.84,0,19.4763
3/16/1990,1.87,10.448,19.4424
3/17/1990,1.9,6.5482,19.1213
3/18/1990,1.87,0,18.767
3/19/1990,1.83,0,18.3982
3/20/1990,1.83,0,18.4624
3/21/1990,1.79,2.0533,17.8689
3/22/1990,1.75,0,18.0641
3/23/1990,1.75,1.7966,17.9704
3/24/1990,1.75,0,18.1504
3/25/1990,1.79,0,18.4979
3/26/1990,2.01,0,18.6979
3/27/1990,1.95,0,18.6859
3/28/1990,1.87,0,18.1249
3/29/1990,1.87,0,18.0808
3/30/1990,1.83,0,18.4818
3/31/1990,1.79,10.1064,18.8372
4/1/1990,1.79,0,19.3044
4/2/1990,1.75,0,19.1339
4/3/1990,1.83,0,19.1818
4/4/1990,1.71,0,18.9274
4/5/1990,1.71,0,19.2513
4/6/1990,1.67,0,18.8667
4/7/1990,1.65,0,18.6846
4/8/1990,1.75,24.0728,19.4029
4/9/1990,1.53,0,20.2127
4/10/1990,1.6,0,19.1432
4/11/1990,1.6,0,19.0272
4/12/1990,1.65,0,19.3425
4/13/1990,1.72,0,19.1265
4/14/1990,1.64,4.2376,19.1073
4/15/1990,1.61,0,18.4893
4/16/1990,1.6,6.8148,18.3701
4/17/1990,1.56,3.4074,19.1553
4/18/1990,1.53,0,19.3832
4/19/1990,1.49,0,19.0798
4/20/1990,1.49,0,18.687
4/21/1990,1.49,4.0513,19.0266
4/22/1990,1.49,4.0513,18.5862
4/23/1990,1.62,8.1027,18.7935
4/24/1990,1.86,4.0513,18.7616
4/25/1990,1.81,8.1027,18.8543
4/26/1990,2.01,8.2323,18.6169
4/27/1990,1.84,0,18.754
4/28/1990,1.65,8.2323,19.5576
4/29/1990,1.71,4.1162,19.3848
4/30/1990,1.71,8.2323,18.8361
5/1/1990,2.09,9.2365,18.8764
5/2/1990,2.3,7.827,18.1596
5/3/1990,3.32,7.2872,17.6166
5/4/1990,3.11,6.7175,17.1087
5/5/1990,2.56,16.3138,17.8433
5/6/1990,2.27,0,18.112
5/7/1990,2.09,0,19.0163
5/8/1990,2.09,4.4924,18.928
5/9/1990,2.04,20.5366,18.3929
5/10/1990,2.13,10.2683,18.6346
5/11/1990,2.18,10.5477,19.0646
5/12/1990,2.04,0,19.1633
5/13/1990,1.95,0,18.3729
5/14/1990,2.13,21.0955,17.2276
5/15/1990,2.27,21.0955,17.3317
5/16/1990,2.18,9.3441,18.1287
5/17/1990,2.39,6.4056,18.5583
5/18/1990,3.2,15.6637,18.2052
5/19/1990,2.46,10.4752,19.141
5/20/1990,2.13,5.0163,19.9661
5/21/1990,2.32,22.6186,18.8412
5/22/1990,4.73,22.404,18.8804
5/23/1990,3.2,11.4947,18.4458
5/24/1990,2.98,8.1771,18.4574
5/25/1990,2.66,18.7545,18.5625
5/26/1990,2.66,24.6751,18.5641
5/27/1990,4.24,12.3376,18.4805
5/28/1990,6.08,49.3503,18.5602
5/29/1990,3.32,0,19.029
5/30/1990,3.26,12.3376,18.473
5/31/1990,3.28,24.6751,17.2355
6/1/1990,2.92,7.3944,17.9008
6/2/1990,2.66,14.7888,17.294
6/3/1990,2.66,7.3944,17.1689
6/4/1990,3.4,7.3944,18.1744
6/5/1990,3.07,7.3944,18.3433
6/6/1990,2.77,9.845,18.4531
6/7/1990,2.56,14.7676,18.9703
6/8/1990,2.61,9.845,18.4002
6/9/1990,3.07,16.8772,18.0828
6/10/1990,3.81,14.7676,18.097
6/11/1990,5.56,6.085,18.2135
6/12/1990,6.35,30.4249,18.49
6/13/1990,6.11,12.17,18.6958
6/14/1990,4.99,12.17,18.6538
6/15/1990,4.4,6.085,17.9677
6/16/1990,4.81,20.7762,17.3288
6/17/1990,4.92,10.3881,17.2131
6/18/1990,3.48,0,18.0792
6/19/1990,2.97,5.194,18.6612
6/20/1990,2.57,0,18.8739
6/21/1990,2.42,25.5232,18.5207
6/22/1990,1.95,15.3139,18.9904
6/23/1990,2.28,15.3139,18.5584
6/24/1990,1.87,10.2093,18.2145
6/25/1990,1.87,5.1046,17.855
6/26/1990,2.02,4.2212,17.5836
6/27/1990,3.06,7.6133,17.8273
6/28/1990,3.81,10.2432,17.1693
6/29/1990,3.03,16.2072,17.6995
6/30/1990,2.97,6.3875,17.9435
7/1/1990,2.97,8.3445,18.0887
7/2/1990,3.18,7.3249,18.2046
7/3/1990,4.56,34.0972,17.3939
7/4/1990,9.24,4.8618,17.4174
7/5/1990,7.03,5.1409,17.5659
7/6/1990,5.16,3.8206,17.8433
7/7/1990,4.13,4.1156,17.9932
7/8/1990,3.73,5.2908,17.977
7/9/1990,4.08,6.4906,17.7374
7/10/1990,4.28,3.7763,16.9171
7/11/1990,4.4,0,16.7419
7/12/1990,6.54,8.2913,18.0382
7/13/1990,5.38,4.7379,18.1066
7/14/1990,4.79,4.1456,18.2913
7/15/1990,4.28,24.8738,17.0432
7/16/1990,4.7,11.7007,17.0098
7/17/1990,7.3,0,16.8738
7/18/1990,6.69,5.335,17.0162
7/19/1990,9.06,6.3698,17.0716
7/20/1990,8.87,3.2211,18.0984
7/21/1990,6.66,0,18.0114
7/22/1990,5.84,12.4247,18.3906
7/23/1990,5.38,0,17.8878
7/24/1990,4.95,13.6852,17.7927
7/25/1990,4.75,20.0203,18.2215
7/26/1990,4.52,0,17.5955
7/27/1990,4.22,0,18.0144
7/28/1990,4.62,9.0743,17.432
7/29/1990,4.46,12.0412,17.8773
7/30/1990,4.33,7.1231,18.3378
7/31/1990,4.26,0,18.6525
8/1/1990,4.19,0,18.5666
8/2/1990,3.99,3.8079,18.6747
