Date,prec,tmax,tmin,tmean,qt
1/1/1990,0,22.4052,12.0195,16.6696,4.4
1/2/1990,0,22.2528,12.8505,16.8442,4.33
1/3/1990,0,22.6668,13.5529,17.2008,4.33
1/4/1990,0,21.6119,14.0622,17.3089,4.19
1/5/1990,6.4089,22.4203,14.233,17.4117,4.13
1/6/1990,21.8642,23.0064,14.8565,17.9678,4.06
1/7/1990,0,23.1809,13.5289,17.3804,3.99
1/8/1990,0,22.8774,13.4292,17.364,4
1/9/1990,0,22.3572,13.6179,17.1237,3.86
1/10/1990,0,21.6474,13.1483,16.9434,3.79
1/11/1990,0,22.5475,12.4321,16.6839,3.86
1/12/1990,0,22.6809,13.3705,16.9827,3.73
1/13/1990,10.3938,22.8752,13.2381,17.1489,3.67
1/14/1990,0,23.3704,13.3783,17.3538,3.54
1/15/1990,0,23.2835,13.926,17.8422,3.48
1/16/1990,0,23.0738,13.4962,17.4563,3.42
1/17/1990,0,23.647,14.6058,18.2035,3.36
1/18/1990,0,23.5583,15.1663,18.2231,3.36
1/19/1990,0,22.784,14.5279,17.7956,3.3
1/20/1990,0,23.5553,14.8093,18.3212,3.24
1/21/1990,0,23.4016,14.739,18.3653,3.24
1/22/1990,0,22.9863,15.3259,18.3734,3.12
1/23/1990,0,22.912,14.6534,17.8434,3.06
1/24/1990,0,23.5379,14.772,18.193,3.06
1/25/1990,0,24.3543,14.2385,18.4314,2.97
1/26/1990,0,23.0089,14.5929,18.008,2.87
1/27/1990,0,24.2135,15.5049,19.0963,2.77
1/28/1990,0,24.233,16.1771,19.087,2.67
1/29/1990,0,24.2777,15.0218,18.6143,2.43
1/30/1990,0,23.0588,14.4064,18.1522,2.33
1/31/1990,0,23.2295,13.1016,17.784,2.72
2/1/1990,0,24.5564,14.774,18.6364,2.62
2/2/1990,0,24.9284,14.5196,18.9491,2.52
2/3/1990,3.7169,24.5081,14.8781,18.624,2.47
2/4/1990,4.1815,22.5165,14.2981,18.0564,2.38
2/5/1990,0,21.4099,15.1262,17.4894,2.44
2/6/1990,0,22.5026,14.1298,17.1916,2.38
2/7/1990,0,22.8999,13.1916,17.1138,2.29
2/8/1990,0,22.5085,14.2892,17.2862,2.24
2/9/1990,0,22.1351,14.3289,17.4878,2.24
2/10/1990,0,23.2075,13.7638,17.8282,2.2
2/11/1990,0,22.1732,13.9551,17.5107,2.16
2/12/1990,0,23.6714,12.7869,17.855,2.07
2/13/1990,0,22.5943,13.1962,17.5139,2.07
2/14/1990,0,22.6837,12.5597,17.1822,2.07
2/15/1990,0,22.9633,12.4549,17.287,2.03
2/16/1990,0,23.4521,14.6055,18.1165,2.07
2/17/1990,0,22.2686,13.2372,17.344,2.03
2/18/1990,0,21.749,13.0416,16.6509,2.03
2/19/1990,0,22.5295,11.982,16.5116,2.06
2/20/1990,0,21.8754,11.4597,16.3448,2.03
2/21/1990,0,23.7,12.2534,16.9492,2.07
2/22/1990,0,23.0692,13.0009,17.3923,2.03
2/23/1990,0,24.1259,12.9459,18.1762,2.03
2/24/1990,0,22.4636,13.6978,17.9869,2
2/25/1990,0,21.3271,12.4467,16.588,1.99
2/26/1990,0,21.5446,12.4474,16.3582,2.03
2/27/1990,0,22.9874,11.8658,16.562,1.99
2/28/1990,0,22.2154,12.8755,16.7018,2.03
3/1/1990,0,22.1526,11.1725,16.2577,2.03
3/2/1990,0,22.715,11.018,16.724,2.07
3/3/1990,0,23.6348,12.314,17.4243,1.99
3/4/1990,0,22.2204,13.0962,17.7792,2.03
3/5/1990,0,23.6315,13.7136,18.1438,1.99
3/6/1990,0,22.9621,13.457,17.9095,1.95
3/7/1990,0,24.0559,14.4308,18.467,1.87
3/8/1990,0,22.6934,13.8551,17.6847,1.87
3/9/1990,0,24.1792,13.8466,17.8086,1.87
3/10/1990,0,24.4622,15.3444,18.6449,1.87
3/11/1990,0,24.507,16.1456,19.17,1.87
